sample,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2
RH053,,,,,,
RH054,,,,,,
RH055,901.1309611,197.3516163,1098.482577,1007.976467,220.7512487,1228.727715
RH056,669.6129451,151.3483436,820.9612887,749.0077685,169.2934492,918.3012178
RH057,716.3664617,165.7305517,882.0970134,801.304767,185.3809304,986.6856974
RH058,,,,,,
RH059,661.5148816,123.9958977,785.5107792,739.9495319,138.6978721,878.647404
RH060,357.7715392,64.11106606,421.8826053,400.1918783,71.71260185,471.9044802
RH061,268.1660372,53.00469839,321.1707356,299.9620103,59.28937181,359.2513821
RH062,,,,,,
RH063,1516.547181,269.0056387,1785.552819,1696.361499,300.9011619,1997.262661
RH064,601.3516711,125.8552785,727.2069496,672.652876,140.7777164,813.4305924
RH065,1270.514668,277.8852923,1548.39996,1421.157347,310.8336603,1731.991007
RH066,,,,,,
RH067,,,,,,
RH068,,,,,,
RH069,,,,,,
RH070,,,,,,
RH071,,,,,,
RH072,,,,,,
RH073,,,,,,
RH074,,,,,,
RH075,,,,,,
RH076,,,,,,
RH077,,,,,,
RH078,,,,,,
RH079,,,,,,
RH080,,,,,,
RH081,,,,,,
RH082,,,,,,
RH083,,,,,,
RH084,,,,,,
RH085,,,,,,
RH086,,,,,,
RH087,,,,,,
RH088,,,,,,
RH089,,,,,,
RH090,,,,,,
RH091,,,,,,
RH092,,,,,,
RH093,,,,,,
RH094,,,,,,
RH095,,,,,,
RH096,592.7136619,102.6233247,695.3369866,662.9906733,114.7911909,777.7818642
RH097,106.6443449,15.79176786,122.4361127,119.2889763,17.66416986,136.9531462
RH098,127.5638672,18.94937057,146.5132377,142.6888894,21.19616395,163.8850534
RH099,300.153209,51.85942041,352.0126294,335.7418446,58.00830023,393.7501448
RH100,594.3176159,104.736702,699.054318,664.7848053,117.1551477,781.939953
RH101,222.6342746,33.02414653,255.6584212,249.0316271,36.93976122,285.9713883
RH102,559.2160746,86.19074742,645.406822,625.5213363,96.41023201,721.9315683
RH103,427.3608292,76.726929,504.0877582,478.0322474,85.82430537,563.8565528
RH104,367.0070518,63.05231081,430.0593626,410.5224293,70.52831187,481.0507412
RH105,,,,,,
RH106,,,,,,
RH107,,,,,,
RH108,,,,,,
RH109,,,,,,
RH110,,,,,,
RH111,,,,,,
RH112,,,,,,
RH113,,,,,,
RH114,,,,,,
RH115,,,,,,
RH116,,,,,,
RH117,1080.924002,205.5947646,1286.518766,1209.08725,229.9717725,1439.059023
RH118,1734.476192,333.3706061,2067.846798,1940.129969,372.8977697,2313.027739
RH119,828.9968777,155.4807717,984.4776494,927.2895724,173.9158521,1101.205424
RH120,1595.916785,302.4791737,1898.395958,1785.141817,338.3435948,2123.485412
RH121,965.9101315,192.7207193,1158.630851,1080.436389,215.5712744,1296.007663
RH122,778.3301096,174.7312816,953.0613911,870.6153351,195.4488608,1066.064196
RH123,840.404921,144.9733081,985.3782291,940.0502472,162.162537,1102.212784
RH124,1034.224918,199.7480529,1233.972971,1156.851139,223.4318265,1380.282966
RH125,1043.341207,220.7322518,1264.073459,1167.04833,246.9040848,1413.952415
T001,,,,,,
T002,,,,,,
T003,,,,,,
T004,,,,,,
T005,,,,,,
T006,,,,,,
T007,,,,,,
T008,,,,,,
T009,,,,,,
T010,,,,,,
T011,,,,,,
T012,,,,,,
T013,589.4305035,91.42861857,680.8591221,659.3182366,102.2691483,761.5873849
T014,804.2973482,149.0841691,953.3815173,899.6614633,166.7608156,1066.422279
T015,547.0473848,103.2894885,650.3368734,611.9098264,115.5363407,727.4461671
T016,,,,,,
T017,672.3725072,110.8773086,783.2498158,752.094527,124.0238351,876.1183621
T018,715.1800833,118.6563775,833.8364608,799.9777218,132.7252545,932.7029763
T019,230.1947039,44.65202848,274.8467323,257.4884831,49.94634058,307.4348237
T020,,,,,,
T021,380.3161629,59.61164215,439.927805,425.4095782,66.6796892,492.0892674
T022,465.4452151,65.24102925,530.6862444,520.6322317,72.97654278,593.6087745
T023,410.7569671,72.52737752,483.2843446,459.4596947,81.12682049,540.5865152
T024,,,,,,
T025,,,,,,
T026,,,,,,
T027,,,,,,
T028,,,,,,
T029,,,,,,
T030,,,,,,
T031,,,,,,
T032,,,,,,
T033,,,,,,
T034,,,,,,
T035,,,,,,
T036,,,,,,
T037,,,,,,
T038,,,,,,
T039,,,,,,
T040,,,,,,
T041,,,,,,
T042,,,,,,
T043,,,,,,
T044,,,,,,
T045,,,,,,
T046,,,,,,
T047,,,,,,
T048,,,,,,
T049,620.1997641,122.312987,742.5127511,693.7357541,136.8154217,830.5511758
T050,817.0567486,161.8432409,978.8999895,913.9337232,181.032708,1094.966431
T051,1311.977115,263.6036183,1575.580733,1467.535922,294.8586334,1762.394556
T052,,,,,,
T053,263.5585557,49.17775491,312.7363106,294.8082278,55.00867439,349.8169022
T054,484.3390844,98.22708811,582.5661725,541.7663136,109.8737004,651.640014
T055,632.2720075,128.3810929,760.6531004,707.239382,143.6030122,850.8423942
T056,,,,,,
T057,418.1630459,76.37355084,494.5365968,467.7438992,85.42902779,553.172927
T058,1084.598936,218.9176046,1303.51654,1213.197915,244.8742781,1458.072193
T059,1229.106968,257.523752,1486.63072,1374.840009,288.0578881,1662.897897
T060,,,,,,
T061,,,,,,
T062,,,,,,
T063,,,,,,
T064,,,,,,
T065,,,,,,
T066,,,,,,
T067,,,,,,
T068,,,,,,
T069,,,,,,
T070,,,,,,
T071,,,,,,
T072,,,,,,
T073,,,,,,
T074,,,,,,
T075,,,,,,
T076,,,,,,
T077,,,,,,
T078,,,,,,
T079,,,,,,
T080,,,,,,
T081,,,,,,
T082,,,,,,
T083,,,,,,
T084,,,,,,
T085,,,,,,
T086,,,,,,
T087,,,,,,
T088,,,,,,
T089,,,,,,
T090,,,,,,
T091,,,,,,
T092,,,,,,
T093,,,,,,
T094,,,,,,
T095,,,,,,
T096,,,,,,
T097,,,,,,
T098,,,,,,
T099,,,,,,
T100,,,,,,
T101,,,,,,
T102,,,,,,
T103,,,,,,
T104,,,,,,
T105,,,,,,
T106,,,,,,
T107,,,,,,
T108,,,,,,
T109,,,,,,
T110,,,,,,
T111,,,,,,
T112,,,,,,
T113,,,,,,
T114,,,,,,
T115,,,,,,
T116,,,,,,
T117,,,,,,
T118,,,,,,
T119,,,,,,
T120,,,,,,
T121,,,,,,
T122,,,,,,
T123,,,,,,
T124,,,,,,
T125,,,,,,
T126,,,,,,
T127,,,,,,
T128,,,,,,
T129,,,,,,
T130,,,,,,
T131,,,,,,
T132,,,,,,
T133,,,,,,
T134,,,,,,
T135,,,,,,
T136,,,,,,
T137,,,,,,
T138,,,,,,
T139,,,,,,
T140,,,,,,
T141,,,,,,
T142,,,,,,
T143,,,,,,
T144,,,,,,
T145,568.1251239,109.1862309,677.3113548,635.4867157,122.1322493,757.618965
T146,560.3157194,111.6949233,672.0106427,626.751364,124.9383929,751.6897569
T147,455.28693,94.31889488,549.6058248,509.2694966,105.5021196,614.7716161
T148,,,,,,
T149,419.0416242,73.49957619,492.5412003,468.7266489,82.21429104,550.94094
T150,451.4083544,80.4702863,531.8786408,504.9310452,90.01150593,594.9425512
T151,499.6050745,83.53218643,583.1372609,558.8423652,93.43645015,652.2788153
T152,,,,,,
T153,450.330329,79.5580559,529.8883849,503.7252002,88.99111399,592.7163142
T154,560.6396813,108.6643665,669.3040478,627.1137374,121.5485084,748.6622458
T155,646.2186491,132.6382717,778.8569208,722.8396523,148.3649571,871.2046094
T156,,,,,,
T157,732.3990558,117.2664718,849.6655277,819.2383175,131.1705502,950.4088677
T158,470.4059457,85.78201486,556.1879605,526.1811473,95.95303676,622.134184
T159,513.5673672,91.62927887,605.196646,574.4601423,102.4936005,676.9537428
T160,,,,,,
T161,625.052872,104.3529336,729.4058056,699.1642863,116.7258765,815.8901629
T162,307.3692374,58.98795071,366.3571881,343.8134647,65.98204778,409.7955125
T163,258.8272981,46.76968637,305.5969844,289.5159934,52.31508543,341.8310788
T164,,,,,,
T165,462.6632529,85.29411778,547.9573707,517.5204172,95.40729058,612.9277077
T166,250.0616649,50.09143331,300.1530982,279.7110345,56.03068603,335.7417205
T167,294.7715257,54.89611979,349.6676454,329.7220645,61.4050557,391.1271202
T168,,,,,,
T169,,,,,,
T170,,,,,,
T171,,,,,,
T172,,,,,,
T173,,,,,,
T174,,,,,,
T175,,,,,,
T176,,,,,,
T177,,,,,,
T178,,,,,,
T179,,,,,,
T180,,,,,,
T181,,,,,,
T182,,,,,,
T183,,,,,,
T184,,,,,,
T185,,,,,,
T186,,,,,,
T187,,,,,,
T188,,,,,,
T189,,,,,,
T190,,,,,,
T191,,,,,,
T192,,,,,,
T193,,,,,,
T194,,,,,,
T195,,,,,,
T196,,,,,,
T197,,,,,,
T198,,,,,,
T199,,,,,,
T200,,,,,,
T201,,,,,,
T202,,,,,,
T203,,,,,,
T204,,,,,,
T205,,,,,,
T206,,,,,,
T207,,,,,,
T208,,,,,,
T209,,,,,,
T210,,,,,,
T211,,,,,,
T212,,,,,,
T213,,,,,,
T214,,,,,,
T215,,,,,,
T216,,,,,,
T217,901.5143637,169.0782732,1070.592637,1008.405329,189.1255852,1197.530914
T218,1134.466641,237.1453997,1371.612041,1268.978346,265.2633107,1534.241656
T219,1333.561014,264.5660137,1598.127028,1491.678987,295.9351383,1787.614125
T220,,,,,,
T221,1172.170429,233.792771,1405.9632,1311.152605,261.5131666,1572.665772
T222,1338.929485,280.079709,1619.009194,1497.683988,313.2882651,1810.972253
T223,638.4926456,140.1149242,778.6075698,714.1975901,156.7281032,870.9256933
T224,,,,,,
T225,1898.684355,418.9343267,2317.618682,2123.808004,468.6066294,2592.414633
T226,1396.089272,296.4623286,1692.5516,1561.62111,331.6133429,1893.234452
T227,1835.435039,377.450782,2212.885821,2053.059328,422.2044541,2475.263782
T228,,,,,,
T229,,,,,,
T230,,,,,,
T231,,,,,,
T232,,,,,,
T233,,,,,,
T234,,,,,,
T235,,,,,,
T236,,,,,,
T237,,,,,,
T238,,,,,,
T239,,,,,,
T240,,,,,,
T241,421.7766763,77.92238684,499.6990632,471.7859914,87.16150654,558.947498
T242,755.9033703,156.0875893,911.9909596,845.529497,174.5946189,1020.124116
T243,1003.58231,214.2604426,1217.842752,1122.57529,239.6649247,1362.240215
T244,,,,,,
T245,,,,,,
T246,1027.75618,209.1837007,1236.939881,1149.615414,233.9862424,1383.601657
T247,1785.086813,355.9961838,2141.082997,1996.741401,398.2060221,2394.947423
T248,,,,,,
T249,601.1595406,118.8806446,720.0401852,672.4379648,132.9761125,805.4140774
T250,1971.390287,390.4945327,2361.88482,2205.134549,436.7947793,2641.929329
T251,759.4336198,138.0898358,897.5234557,849.4783219,154.4629036,1003.941226
T252,,,,,,
T253,,,,,,
T254,,,,,,
T255,,,,,,
T256,,,,,,
T257,,,,,,
T258,,,,,,
T259,,,,,,
T260,,,,,,
T261,,,,,,
T262,,,,,,
T263,,,,,,
T264,,,,,,
T265,,,,,,
T266,,,,,,
T267,,,,,,
T268,,,,,,
T269,,,,,,
T270,,,,,,
T271,,,,,,
T272,,,,,,
T273,,,,,,
T274,,,,,,
T275,,,,,,
T276,,,,,,
T277,,,,,,
T278,,,,,,
T279,,,,,,
T280,,,,,,
T281,,,,,,
T282,,,,,,
T283,,,,,,
T284,,,,,,
T285,,,,,,
T286,,,,,,
T287,,,,,,
T288,,,,,,
T289,,,,,,
T290,,,,,,
T291,,,,,,
T292,,,,,,
T293,,,,,,
T294,,,,,,
T295,,,,,,
T296,,,,,,
T297,,,,,,
T298,,,,,,
T299,,,,,,
T300,,,,,,
T301,,,,,,
T302,,,,,,
T303,,,,,,
T304,,,,,,
T305,,,,,,
T306,,,,,,
T307,,,,,,
T308,,,,,,
T309,,,,,,
T310,,,,,,
T311,,,,,,
T312,,,,,,
T313,,,,,,
T314,,,,,,
T315,,,,,,
T316,,,,,,
T317,,,,,,
T318,,,,,,
T319,184.9219606,39.1405299,224.0624905,206.8478306,43.78135335,250.629184
T320,1373.925885,300.6694178,1674.595303,1536.829849,336.3192592,1873.149108
T321,1487.621831,328.0698235,1815.691654,1664.006522,366.9684826,2030.975005
T322,,,,,,
T323,932.3088794,166.2702905,1098.57917,1042.851096,185.984665,1228.835761
T324,771.3514411,154.2397133,925.5911543,862.8092182,172.5276435,1035.336862
T325,711.0479656,153.1267038,864.1746694,795.3556662,171.2826665,966.6383327
T326,,,,,,
T327,454.7001461,71.65671222,526.3568583,508.6131388,80.15292194,588.7660607
T328,1352.724445,270.7012942,1623.425739,1513.114592,302.7978683,1815.91246
T329,848.3755792,181.4252539,1029.800833,948.9659722,202.9365256,1151.902498
T330,,,,,,
T331,851.0119875,173.6829872,1024.694975,951.9149748,194.2762721,1146.191247
T332,1640.779114,377.2401722,2018.019286,1835.323393,421.9688727,2257.292266
T333,616.1985047,147.3152163,763.513721,689.2600724,164.7821211,854.0421935
T334,,,,,,
T335,581.9933377,125.8003912,707.7937289,650.9992592,140.7163212,791.7155804
T336,668.4127273,132.7256906,801.138418,747.6652431,148.4627412,896.1279843
T337,591.3513384,118.4364231,709.7877616,661.4668215,132.4792205,793.946042
T338,,,,,,
T339,792.5005782,146.5547342,939.0553124,886.4659711,163.9314701,1050.397441
T340,1287.042331,250.0926147,1537.134945,1439.644665,279.745654,1719.390319
T341,678.5719792,137.2091687,815.7811479,759.0290595,153.4778173,912.5068768
T342,,,,,,
T343,,,,,,
T344,,,,,,
T345,,,,,,
T346,,,,,,
T347,,,,,,
T348,,,,,,
T349,,,,,,
T350,,,,,,
T351,,,,,,
T352,,,,,,
T353,,,,,,
T354,,,,,,
T355,,,,,,
T356,,,,,,
T357,,,,,,
T358,,,,,,
T359,,,,,,
T360,,,,,,
T361,,,,,,
T362,,,,,,
T363,,,,,,
T364,,,,,,
T365,,,,,,
T366,,,,,,
T367,,,,,,
T368,,,,,,
T369,,,,,,
T370,,,,,,
T371,,,,,,
T372,721.6955953,145.6732403,867.3688356,807.2657666,162.9454589,970.2112255
T373,1642.957865,311.3585041,1954.316369,1837.760475,348.2757316,2186.036207
T374,421.3256998,78.01033502,499.3360348,471.2815434,87.25988257,558.5414259
T375,,,,,,
T376,942.7389211,188.6283003,1131.367221,1054.517809,210.9936245,1265.511433
T377,2041.317907,389.9470542,2431.264961,2283.353363,436.1823873,2719.53575
T378,1583.948887,315.8480606,1899.796947,1771.754907,353.2976069,2125.052514
T379,,,,,,
T380,764.6180024,155.4848251,920.1028274,855.2774076,173.920386,1029.197794
T381,888.896579,185.5430178,1074.439597,994.2914754,207.5425255,1201.834001
T382,1030.260751,211.7891741,1242.049925,1152.416947,236.9006422,1389.31759
T383,,,,,,
T384,,,,,,
T385,,,,,,
T386,,,,,,
T387,,,,,,
T388,,,,,,
T389,,,,,,
T390,,,,,,
T391,,,,,,
T392,,,,,,
T393,,,,,,
T394,,,,,,
T395,,,,,,
T396,,,,,,
T397,504.0989358,83.91244328,588.0113791,563.8690557,93.86179338,657.7308491
T398,1207.385829,221.4256054,1428.811434,1350.543433,247.6796481,1598.223081
T399,883.8970976,208.291746,1092.188844,988.6992143,232.9885302,1221.687745
T400,,,,,,
T401,517.7443792,91.90458559,609.6489648,579.1324152,102.8015499,681.9339651
T402,816.8728198,137.1919495,954.0647694,913.7279864,153.4585565,1067.186543
T403,613.6180431,129.0629973,742.6810404,686.3736499,144.3657688,830.7394187
T404,,,,,,
T405,857.4336423,174.687609,1032.121251,959.0980339,195.40001,1154.498044
T406,973.8280557,177.1322302,1150.960286,1089.293127,198.1344857,1287.427613
T407,1130.725069,221.30848,1352.033549,1264.793142,247.5486353,1512.341777
T408,,,,,,
YG001,,,,,,
YG002,,,,,,
YG003,,,,,,
YG004,,,,,,
YG005,,,,,,
YG006,,,,,,
YG007,,,,,,
YG008,,,,,,
YG009,,,,,,
YG010,,,,,,
YG011,,,,,,
YG012,,,,,,
YG013,,,,,,
YG014,,,,,,
YG015,,,,,,
YG016,,,,,,
YG017,2098.764424,372.7939479,2471.558372,2347.611213,416.9954675,2764.60668
YG018,1958.821008,403.8997305,2362.720739,2191.074953,451.7894077,2642.864361
YG019,2605.388691,583.6990334,3189.087724,2914.305023,652.9071962,3567.21222
YG020,602.218419,125.6643333,727.8827524,673.6223927,140.5641312,814.1865239
YG021,1276.86873,271.0149317,1547.883662,1428.264799,303.1486932,1731.413492
YG022,446.778739,102.6512324,549.4299714,499.7525044,114.8224077,614.5749121
YG023,,,,,,
YG024,,,,,,
YG025,,,,,,
YG026,,,,,,
YG027,,,,,,
YG028,,,,,,
YG029,480.57672,96.5172,577.09392,537.5578523,107.9610738,645.5189262
YG030,1381.97248,308.568,1690.54048,1545.830515,345.1543624,1890.984877
YG031,1076.547128,215.114,1291.661128,1204.191418,240.6196868,1444.811105
YG032,,,,,,
YG033,,,,,,
YG034,,,,,,
YG035,,,,,,
YG036,,,,,,
YG037,,,,,,
YG038,,,,,,
YG039,,,,,,
YG040,,,,,,
YG041,,,,,,
YG042,,,,,,
YG043,928.0240879,178.5156553,1106.539743,1038.058264,199.6819411,1237.740205
YG044,1514.312795,316.4302258,1830.743021,1693.862187,353.9487984,2047.810985
YG045,1163.288918,255.5679078,1418.856826,1301.218029,285.8701429,1587.088172
YG046,,,,,,
YG047,,,,,,
YG048,,,,,,
YG049,,,,,,
YG050,,,,,,
YG051,,,,,,
YG052,,,,,,
YG053,,,,,,
YG054,863.8288805,178.5861946,1042.415075,966.2515442,199.760844,1166.012388
YG055,1482.872122,303.7232588,1786.595381,1658.693649,339.7351888,1998.428838
YG056,1313.984687,272.7225,1586.707187,1469.781529,305.0587248,1774.840254
YG057,,,,,,
YG058,,,,,,
YG059,,,,,,
YG060,,,,,,
YG061,,,,,,
YG062,,,,,,
YG063,,,,,,
YG064,,,,,,
YG065,,,,,,
YG066,,,,,,
YG067,,,,,,
YG068,,,,,,
YG069,,,,,,
YG070,1381.473181,258.3222933,1639.795475,1545.272015,288.951111,1834.223126
YG071,2690.873554,573.6035707,3264.477124,3009.925675,641.6147323,3651.540408
YG072,1987.312597,392.3955857,2379.708183,2222.94474,438.9212368,2661.865976
YG073,,,,,,
YG074,,,,,,
YG075,2664.977004,623.0182019,3287.995206,2980.958617,696.888369,3677.846986
YG076,2135.878816,397.9671943,2533.84601,2389.126192,445.1534612,2834.279653
YG077,1802.253304,379.043407,2181.296711,2015.943293,423.9859138,2439.929207
YG078,,,,,,
YG079,,,,,,
YG080,1881.003818,422.644578,2303.648396,2104.031116,472.7567987,2576.787915
YG081,2144.385809,404.5741939,2548.960003,2398.641845,452.5438411,2851.185686
YG082,1108.814636,192.1166454,1300.931282,1240.284828,214.8955765,1455.180405
YG083,,,,,,
YG084,809.4505986,178.6962031,988.1468016,905.4257255,199.883896,1105.309621
YG085,1669.562012,338.8286905,2008.390702,1867.519029,379.0030096,2246.522038
YG086,711.142678,150.815414,861.9580921,795.4616085,168.6973311,964.1589397
YG087,,,,,,
YG088,,,,,,
YG089,,,,,,
YG090,,,,,,
YG091,,,,,,
YG092,,,,,,
YG093,,,,,,
YG094,,,,,,
YG095,,,,,,
YG096,,,,,,
YG097,,,,,,
YG098,,,,,,
YG099,,,,,,
YG100,,,,,,
YG101,,,,,,
YG102,,,,,,
YG103,,,,,,
YG104,,,,,,
YG105,,,,,,
YG106,,,,,,
YG107,,,,,,
YG108,,,,,,
YG109,,,,,,
YG110,,,,,,
YG111,,,,,,
YG112,,,,,,
YG113,,,,,,
YG114,,,,,,
YG115,,,,,,
YG116,,,,,,
YG117,,,,,,
YG118,1466.670391,347.5019006,1814.172291,1640.570907,388.7045868,2029.275494
YG119,,,,,,
YG120,1687.945099,337.3615222,2025.306621,1888.081766,377.3618816,2265.443648
YG121,2577.763104,490.639348,3068.402452,2883.403919,548.8135884,3432.217508
YG122,,,,,,
YG123,2115.094349,451.7852993,2566.879648,2365.877348,505.3526838,2871.230032
YG124,1985.315933,369.5180811,2354.834014,2220.711334,413.3311869,2634.042521
YG125,822.1379017,143.0334358,965.1713375,919.6173397,159.9926575,1079.609997
YG126,,,,,,
YG127,1404.542243,294.2466754,1698.788918,1571.076334,329.1349837,1900.211318
YG128,1535.098452,287.9818484,1823.0803,1717.112362,322.1273472,2039.239709
YG129,1267.394535,246.5125827,1513.907118,1417.667265,275.741144,1693.408409
YG130,,,,,,
YG131,,,,,,
YG132,,,,,,
YG133,,,,,,
YG134,,,,,,
YG135,919.9139477,198.7759014,1118.689849,1028.986519,222.3444087,1251.330927
YG136,839.3570379,185.2458429,1024.602881,938.8781185,207.2101151,1146.088234
YG137,1047.612489,232.1715927,1279.784082,1171.82605,259.6997681,1431.525819
YG138,,,,,,
YG139,,,,,,
YG140,,,,,,
YG141,,,,,,
YG142,,,,,,
YG143,,,,,,
YG144,,,,,,
YG145,,,,,,
YG146,,,,,,
YG147,,,,,,
YG148,,,,,,
YG149,,,,,,
YG150,,,,,,
YG151,,,,,,
YG152,,,,,,
YG153,,,,,,
YG154,,,,,,
YG155,,,,,,
YG156,,,,,,
YG157,,,,,,
YG158,,,,,,
YG159,,,,,,
YG160,,,,,,
YG161,,,,,,
YG162,,,,,,
YG163,,,,,,
YG164,,,,,,
YG165,,,,,,
YG166,,,,,,
YG167,,,,,,
YG168,750.5153615,167.1155419,917.6309034,839.5026415,186.9301364,1026.432778
YG169,822.1821115,174.0825935,996.264705,919.6667914,194.7232589,1114.39005
YG170,680.4154467,143.2418349,823.6572817,761.0911037,160.2257661,921.3168699
YG171,,,,,,
YG172,,,,,,
YG173,,,,,,
YG174,,,,,,
YG175,,,,,,
YG176,,,,,,
YG177,,,,,,
YG178,,,,,,
YG179,,,,,,
YG180,,,,,,
YG181,,,,,,
YG182,,,,,,
YG183,,,,,,
YG184,,,,,,
YG185,,,,,,
YG186,476.9492592,101.429936,578.3791951,533.5002899,113.4563042,646.9565941
YG187,569.2250377,104.8296163,674.054654,636.7170444,117.2590786,753.976123
YG188,354.8107372,76.61086549,431.4216027,396.8800193,85.69448042,482.5744997
YG189,,,,,,
YG190,,,,,,
YG191,,,,,,
YG192,,,,,,
YG193,,,,,,
YG194,,,,,,
YG195,,,,,,
YG196,,,,,,
YG197,,,,,,
YG198,,,,,,
YG199,,,,,,
YG200,,,,,,
YG201,,,,,,
YG202,786.0404766,147.7220028,933.7624794,879.2399067,165.2371396,1044.477046
YG203,601.405485,118.1310652,719.5365502,672.7130705,132.1376568,804.8507273
YG204,1101.476899,195.7210066,1297.197905,1232.077068,218.9273005,1451.004369
YG205,,,,,,
YG206,,,,,,
YG207,,,,,,
YG208,,,,,,
YG209,,,,,,
