Section,Subsection,Series,Subseries,Taxon code,Taxon,n,Relationships,
Distance,Cladistic,,,,,,,
Racemus,,,,SR,Eucalyptus michaeliana,2,Poly,Poly
Inclusae,,,,SI,Eucalyptus diversicolor,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus brunneaa,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus deanei,3,Mono,Mono
Latoangulatae,,Transversae,,SLaT,Eucalyptus grandis,7,Mono,Mono
Latoangulatae,,Transversae,,SLaT, subsp. grandis,4,Mono,Mono
Latoangulatae,,Transversae,,SLaT, subsp. ‘Northern’,3,Para,Para
Latoangulatae,,Transversae,,SLaT,Eucalyptus saligna,4,Poly,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus urophylla,5,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus orophilaa,0,–,–
Latoangulatae,,Annulares,,SLaA,Eucalyptus pellita,3,Para,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus biterraneaa,2,Polyb,Polyb
Latoangulatae,,Annulares,,SLaA,Eucalyptus scias,7,Poly,Poly
Latoangulatae,,Annulares,,SLaA, subsp. callimastha,2,Mono,Mono
Latoangulatae,,Annulares,,SLaA, subsp. scias,3,Poly,Poly
Latoangulatae,,Annulares,,SLaA, subsp. apoda,2,Para,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus notabilis,2,Poly,Poly
Latoangulatae,,Annulares,,SLaA,Eucalyptus resinifera,5,Para,Para
Latoangulatae,,Annulares,,SLaA, subsp. resinifera,2,Poly,Para
Latoangulatae,,Annulares,,SLaA, subsp. hemilampra,3,Mono,Para
Latoangulatae,,Annulares,,SLaA,Eucalyptus mactaa,3,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus robusta,4,Mono,Mono
Latoangulatae,,Annulares,,SLaA,Eucalyptus botryoides,4,Mono,Mono
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus major,4,Para,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus propinqua,4,Poly,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus canaliculata,3,Para,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus punctatac,6,Poly,Poly
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus griseaa,1,–,–
Latoangulatae,,Lepidotae-Fimbriatae,,SLaLF,Eucalyptus longirostrata,3,Poly,Poly
Similares,,,,SSi,Eucalyptus longifolia,4,Mono,Mono
Incognitae,,,,SIn,Eucalyptus cosmophylla,3,Mono,Mono
Incognitae,,,,SIn,Eucalyptus paludicola,3,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus seeana,3,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus interstans,2,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus disclusaa,1,–,–
Liberivalvae,,,,SLi,Eucalyptus prava,4,Mono,Mono
Liberivalvae,,,,SLi,Eucalyptus bancroftii,4,Poly,Poly
Liberivalvae,,,,SLi,Eucalyptus parramattensis,6,Mono,Mono
Liberivalvae,,,,SLi, subsp. decadens,3,Mono,Poly
Liberivalvae,,,,SLi, subsp. parramattensis,3,Mono,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus nandewarica,3,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus dwyeri,3,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus dealbata,4,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus vicina,6,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus flindersii,3,Mono,Mono
Exsertaria,,Erythroxylon,,SEE,Eucalyptus nudicaulis,3,Mono,Mono
Exsertaria,,Erythroxylon,,SEE,Eucalyptus gillenii,3,Mono,Mono
Exsertaria,,Erythroxylon,,SEE,Eucalyptus infera,2,Mono,Mono
Exsertaria,,Erythroxylon,,SEE,Eucalyptus terrica,2,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus chloroclada,4,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus blakelyi,6,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus kabiana,1,–,–
Exsertaria,,Erythroxylon,,SEE,Eucalyptus glaucina,4,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus amplifolia,5,Poly,Mono
Exsertaria,,Erythroxylon,,SEE, subsp. amplifolia,3,Para,Poly
Exsertaria,,Erythroxylon,,SEE, subsp. sessiliflora,2,Poly,Para
Exsertaria,,Erythroxylon,,SEE,Eucalyptus ‘rotunda’a,3,Poly,Poly
Exsertaria,,Erythroxylon,,SEE,Eucalyptus tereticornis,9,Poly,Poly
Exsertaria,,Erythroxylon,,SEE, subsp. mediana,2,Mono,Mono
Exsertaria,,Erythroxylon,,SEE, subsp. tereticornis,5,Poly,Poly
Exsertaria,,Erythroxylon,,SEE, subsp. basaltica,2,Para,Mono
Exsertaria,,Rostratae,,SER,Eucalyptus camaldulensis,25,Poly,Poly
Exsertaria,,Rostratae,,SER, subsp. refulgens,2,Mono,Mono
Exsertaria,,Rostratae,,SER, subsp. obtusa,4,Poly,Poly
Exsertaria,,Rostratae,,SER, subsp. arida,5,Poly,Poly
Exsertaria,,Rostratae,,SER, subsp. minima,3,Poly,Poly
Exsertaria,,Rostratae,,SER, subsp. camaldulensis,4,Para,Poly
Exsertaria,,Rostratae,,SER, subsp. acuta,5,Poly,Poly
Exsertaria,,Rostratae,,SER, subsp. simulata,2,Mono,Poly
Exsertaria,,Singulares,,SESi,Eucalyptus rudis,5,Mono,Mono
Exsertaria,,Singulares,,SESi, subsp. rudis,3,Para,Para
Exsertaria,,Singulares,,SESi, subsp. cratyantha,2,Poly,Poly
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus brassiana,4,Mono,Mono
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus lockyeri,3,Para,Poly
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus ammophila,3,Poly,Poly
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus insulanaa,5,Poly,Poly
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus exserta,5,Poly,Poly
Exsertaria,,Phaeoxylon,,SEP,Eucalyptus morrisii,3,Mono,Poly
Exsertaria,,Connexentes,,SEC,Eucalyptus hallii,2,Mono,Mono
Exsertaria,,Connexentes,,SEC,Eucalyptus broviniensisa,1,–,–
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus alba,2,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu, var. alba,0,–,–
Exsertaria,,Subexsertae,Applanatae,SESu, var. australasica,2,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus sp. ‘Melville Island’a,2,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus tintinnans,2,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus bigalerita,2,Poly,Poly
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus pantoleucaa,2,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus sp. ‘Arnhem Land’a,0,–,–
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus sp. ‘Port Moresby’a,1,–,–
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus platyphylla,4,Mono,Mono
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus houseana,1,–,–
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus sp. ‘Mt Broome’a,1,–,–
Exsertaria,,Subexsertae,Applanatae,SESu,Eucalyptus apodophylla,4,Poly,Poly
Exsertaria,,Subexsertae,Pyramidales,SESu,Eucalyptus mooreana,0,–,–
Exsertaria,,Subexsertae,Pyramidales,SESu,Eucalyptus herbertiana,2,Poly,Poly
Exsertaria,,Subexsertae,Pyramidales,SESu,Eucalyptus cupularis,0,–,–
Exsertaria,,Subexsertae,Pyramidales,SESu,Eucalyptus gregoriensis,1,–,–
Exsertaria,,Subexsertae,Pyramidales,SESu,Eucalyptus glomericassisa,1,–,–
Platysperma,,,,SP,Eucalyptus rupestris,1,–,–
Platysperma,,,,SP,Eucalyptus kenneallyia,0,–,–
Platysperma,,,,SP,Eucalyptus umbrawarrensis,1,–,–
Platysperma,,,,SP,Eucalyptus leucophloia,6,Poly,Para
Platysperma,,,,SP, subsp. euroa,4,Mono,Mono
Platysperma,,,,SP, subsp. leucophloia,2,Mono,Mono
Platysperma,,,,SP,Eucalyptus confluens,0,–,–
Platysperma,,,,SP,Eucalyptus brevifolia,1,–,–
Platysperma,,,,SP,Eucalyptus ordiana,0,–,–
Pumilio,,,,SPu,Eucalyptus pumila,2,Mono,Mono
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus brookeriana,3,Poly,Poly
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus strzeleckii,3,Para,Mono
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus ovata,6,Poly,Poly
Maidenaria,Triangulares,Foveolatae,,SMF, subsp. ovata,3,Poly,Poly
Maidenaria,Triangulares,Foveolatae,,SMF, subsp. grandiflora,3,Mono,Poly
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus yarraensis,2,Mono,Mono
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus camphora,7,Mono,Para
Maidenaria,Triangulares,Foveolatae,,SMF, subsp. humeana,3,Mono,Mono
Maidenaria,Triangulares,Foveolatae,,SMF, subsp. camphora,4,Para,Para
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus barberi,3,Para,Poly
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus cadens,2,Mono,Mono
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus aggregata,4,Mono,Mono
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus rodwayi,4,Poly,Poly
Maidenaria,Triangulares,Foveolatae,,SMF,Eucalyptus macarthurii,3,Mono,Mono
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus fulgens,3,Poly,Poly
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus corticosad,7,Poly,Poly
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus aromophloia,2,Poly,Poly
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus sabulosaa,1,–,–
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus acaciiformis,3,Poly,Poly
Maidenaria,Triangulares,Acaciiformes,,SMAc,Eucalyptus nicholii,3,Poly,Poly
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus scoparia,2,Mono,Mono
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus mannifera,7,Poly,Poly
Maidenaria,Triangulares,Microcarpae,,SMM, subsp. gullickii,4,Poly,Poly
Maidenaria,Triangulares,Microcarpae,,SMM, subsp. mannifera,3,Poly,Poly
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus sp. ‘Alpine Victoria’a,3,Poly,Poly
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus lacteae,2,Mono,Mono
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus elliptica,4,Mono,Mono
Maidenaria,Triangulares,Microcarpae,,SMM,Eucalyptus dorrigoensis,2,Mono,Poly
Maidenaria,Triangulares,Benthamianae,,SMBe,Eucalyptus benthamii,3,Mono,Mono
Maidenaria,Obscurae,,,SM-,Eucalyptus parvula,3,Mono,Mono
Maidenaria,Obscurae,,,SM-,Eucalyptus recurva,2,Mono,Mono
Maidenaria,Euryotae,Saxicola,,SMSa,Eucalyptus wilcoxii,2,Mono,Mono
Maidenaria,Euryotae,Saxicola,,SMSa,Eucalyptus baeuerlenii,2,Mono,Mono
Maidenaria,Euryotae,Semiunicolores,,SMSe,Eucalyptus johnstonii,3,Mono,Para
Maidenaria,Euryotae,Semiunicolores,,SMSe,Eucalyptus subcrenulata,3,Poly,Poly
Maidenaria,Euryotae,Semiunicolores,,SMSe,Eucalyptus vernicosa,3,Mono,Poly
Maidenaria,Euryotae,Semiunicolores,,SMSe,Eucalyptus imlayensis,3,Mono,Mono
Maidenaria,Euryotae,Semiunicolores,,SMSe,Eucalyptus elaeophloiaa,1,–,–
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus perriniana,3,Mono,Mono
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus glaucescens,3,Mono,Mono
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus saxatilis,3,Mono,Poly
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus urnigera,4,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus morrisbyi,3,Poly,Mono
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus gunnii,6,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO, subsp. divaricata,2,Para,Poly
Maidenaria,Euryotae,Orbiculares,,SMO, subsp. gunnii,4,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus archeri,4,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus cordata,3,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO, subsp. quadrangulosa,1,–,–
Maidenaria,Euryotae,Orbiculares,,SMO, subsp. cordata,2,Poly,Poly
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus pulverulenta,3,Mono,Mono
Maidenaria,Euryotae,Orbiculares,,SMO,Eucalyptus chapmaniana,3,Mono,Mono
Maidenaria,Euryotae,Argyrophyllae,,SMAr,Eucalyptus cinerea,4,Mono,Para
Maidenaria,Euryotae,Argyrophyllae,,SMAr, subsp. cinerea,3,Mono,Mono
Maidenaria,Euryotae,Argyrophyllae,,SMAr, subsp. triplex,1,–,–
Maidenaria,Euryotae,Argyrophyllae,,SMAr,Eucalyptus alligatrix,2,Poly,Poly
Maidenaria,Euryotae,Argyrophyllae,,SMAr, subsp. alligatrix,1,–,–
Maidenaria,Euryotae,Argyrophyllae,,SMAr, subsp. miscella,1,–,–
Maidenaria,Euryotae,Argyrophyllae,,SMAr,Eucalyptus conspicua,3,Poly,Poly
Maidenaria,Euryotae,Argyrophyllae,,SMAr,Eucalyptus cephalocarpa,3,Poly,Poly
Maidenaria,Euryotae,Argyrophyllae,,SMAr,Eucalyptus nova-anglica,3,Mono,Para
Maidenaria,Euryotae,Bridgesianae,,SMBr,Eucalyptus dunnii,3,Mono,Mono
Maidenaria,Euryotae,Bridgesianae,,SMBr,Eucalyptus angophoroides,3,Poly,Poly
Maidenaria,Euryotae,Bridgesianae,,SMBr,Eucalyptus bridgesiana,6,Para,Poly
Maidenaria,Euryotae,Bridgesianae,,SMBr,Eucalyptus malacoxylon,3,Mono,Poly
Maidenaria,Euryotae,Compactae,Arrectae,SMCom,Eucalyptus smithii,4,Poly,Poly
Maidenaria,Euryotae,Compactae,Ambitae,SMCom,Eucalyptus badjensis,3,Mono,Mono
Maidenaria,Euryotae,Confines,,SMCon,Eucalyptus kartzoffiana,3,Mono,Mono
Maidenaria,Euryotae,Globulares,Euglobulares,SMG,Eucalyptus maidenii,3,Mono,Mono
Maidenaria,Euryotae,Globulares,Euglobulares,SMG,Eucalyptus pseudoglobulus,3,Mono,Poly
Maidenaria,Euryotae,Globulares,Euglobulares,SMG,Eucalyptus bicostata,4,Mono,Poly
Maidenaria,Euryotae,Globulares,Euglobulares,SMG,Eucalyptus globulus,3,Mono,Para
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus nitens,2,Mono,Mono
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus denticulata,1,–,–
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus quadrangulata,4,Mono,Mono
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus cypellocarpa,6,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus alaticaulisa,4,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus litoralisa,1,–,–
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus retinensf,4,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus nortonii,4,Poly,Mono
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus goniocalyx,9,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG, subsp. viridissima,2,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG, subsp. goniocalyx,5,Poly,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG, subsp. exposa,2,Para,Poly
Maidenaria,Euryotae,Globulares,Remanentes,SMG,Eucalyptus banksii,3,Mono,Mono
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV,Eucalyptus splendens,1,–,–
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV,Eucalyptus arcanaa,2,Poly,Poly
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV,Eucalyptus viminalis,14,Poly,Poly
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV, subsp. viminalisg,9,Poly,Poly
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV, subsp. pryoriana,2,Poly,Para
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV, subsp. cygnetensis,2,Poly,Mono
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV, subsp. siliceana,1,–,–
Maidenaria,Euryotae,Viminales,Lanceolatae,SMV,Eucalyptus nobilis,4,Mono,Mono
Maidenaria,Euryotae,Viminales,Circulares,SMV,Eucalyptus dalrympleana,10,Poly,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. ‘Alpine’,1,–,–
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. heptantha,2,Para,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. dalrympleana,5,Poly,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. ‘Tasmania’,2,Poly,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV,Eucalyptus canobolensisa,3,Para,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV,Eucalyptus rubida,7,Poly,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. rubida,6,Poly,Poly
Maidenaria,Euryotae,Viminales,Circulares,SMV, subsp. barbigerorum,1,–,–
Maidenaria,Euryotae,Crenulatae,,SMCr,Eucalyptus crenulata,2,Mono,Mono
Maidenaria,Euryotae,Neglectae,,SMN,Eucalyptus neglecta,2,Mono,Mono
Maidenaria,Euryotae,Kitsonianae,,SMK,Eucalyptus kitsoniana,4,Mono,Mono
Maidenaria,Euryotae,Sturgissianae,,SMSt,Eucalyptus sturgissiana,3,Mono,Mono
Total,,,,,,540,,
Outgroups,,,,,,,,
Bisectae,Hadrotes,Cornutae,,SB1C,Eucalyptus cornuta,1,,
Bisectae,Glandulosae,Levispermae,Cubiformes,SB1L,Eucalyptus wandoo,1,,
